sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,0
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,X,resnet50,0
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MAX,resnet50,0
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,T50,resnet50,0
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,0
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,DyS,resnet50,0
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,HDy,resnet50,0
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,SORD,resnet50,0
9,10,0.0,0.0,0.9,0.9,0.1,0.0,0.5,CC,resnet50,0
9,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,ACC,resnet50,0
9,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,resnet50,0
9,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MAX,resnet50,0
9,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,resnet50,0
9,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MS,resnet50,0
9,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,DyS,resnet50,0
9,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,HDy,resnet50,0
9,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,SORD,resnet50,0
10,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,0
10,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,0
10,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,X,resnet50,0
10,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MAX,resnet50,0
10,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,T50,resnet50,0
10,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,0
10,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,DyS,resnet50,0
10,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,HDy,resnet50,0
10,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,SORD,resnet50,0
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,0
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,0
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,X,resnet50,0
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,MAX,resnet50,0
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,T50,resnet50,0
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,0
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,DyS,resnet50,0
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,HDy,resnet50,0
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,SORD,resnet50,0
2,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,0
2,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,0
2,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,X,resnet50,0
2,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,MAX,resnet50,0
2,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,T50,resnet50,0
2,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,0
2,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,DyS,resnet50,0
2,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,HDy,resnet50,0
2,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,SORD,resnet50,0
3,10,0.05,0.0,0.8,0.8,0.2,0.0,0.5,CC,resnet50,0
3,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,ACC,resnet50,0
3,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,X,resnet50,0
3,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,MAX,resnet50,0
3,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,T50,resnet50,0
3,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,MS,resnet50,0
3,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,DyS,resnet50,0
3,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,HDy,resnet50,0
3,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,SORD,resnet50,0
4,10,0.05,0.0,0.9,0.9,0.1,0.0,0.5,CC,resnet50,0
4,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,ACC,resnet50,0
4,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,X,resnet50,0
4,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,MAX,resnet50,0
4,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,T50,resnet50,0
4,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,MS,resnet50,0
4,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,DyS,resnet50,0
4,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,HDy,resnet50,0
4,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,SORD,resnet50,0
5,10,0.05,0.0,0.9,0.9,0.1,0.0,0.5,CC,resnet50,0
5,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,ACC,resnet50,0
5,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,X,resnet50,0
5,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,MAX,resnet50,0
5,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,T50,resnet50,0
5,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,MS,resnet50,0
5,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,DyS,resnet50,0
5,10,0.05,0.0,0.94,0.94,0.1,0.0,0.39710044860839844,HDy,resnet50,0
5,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,SORD,resnet50,0
6,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,0
6,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,0
6,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,X,resnet50,0
6,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,MAX,resnet50,0
6,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,T50,resnet50,0
6,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,0
6,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,DyS,resnet50,0
6,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,HDy,resnet50,0
6,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,SORD,resnet50,0
7,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,0
7,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,0
7,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,X,resnet50,0
7,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,MAX,resnet50,0
7,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,T50,resnet50,0
7,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,0
7,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,DyS,resnet50,0
7,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,HDy,resnet50,0
7,10,0.05,0.0,1.0,1.0,0.0,0.0,0.5,SORD,resnet50,0
